" 
Nome",NIF,Tipo Entidade,Escalão Dívida
"ARAUJO & IRMAO, LDA.",500027820,Pessoa Coletiva,10000 a 50000
"ARAUJO, ADÃES & ROMPANTE, UNIPESSOAL LDA",500027935,Pessoa Coletiva,10000 a 50000
"PUPILO - INDUSTRIA DE CALÇADO, LDA",500029326,Pessoa Coletiva,10000 a 50000
"VULCAPOR - COMPANHIA PORTUGUESA DE EQUIPAMENTOS INDUSTRIAIS, S.A.",500030758,Pessoa Coletiva,10000 a 50000
AUCOVIL AUTO COMERCIAL VILAFRANQUENSE LD,500032823,Pessoa Coletiva,10000 a 50000
"AUGUSTO FERREIRA CASTELO BRANCO, LDA.",500033226,Pessoa Coletiva,10000 a 50000
AUTO CENTRAL POVOENSE LDA,500034400,Pessoa Coletiva,10000 a 50000
"AUTO-FEALCO, LDA.",500034869,Pessoa Coletiva,10000 a 50000
"AUTO GARAGEM JARDIM DE MOSCAVIDE, LDA",500035091,Pessoa Coletiva,10000 a 50000
"AUTO LIGEIROS-AZEVEDO E SILVA, LDA.",500035571,Pessoa Coletiva,10000 a 50000
"AUTO-LUZ DE LISBOA, LDA.",500035709,Pessoa Coletiva,10000 a 50000
"AUTO-MECANICA IDEAL DE BRANCA, LDA - EM LIQUIDAÇÃO",500035997,Pessoa Coletiva,10000 a 50000
"AUTO MOLA MECANICA DE MARIO & SIMOES, LDA",500036357,Pessoa Coletiva,10000 a 50000
"AUTO MONUMENTAL DO AREEIRO, S.A.",500036403,Pessoa Coletiva,10000 a 50000
"AUTO RECONSTRUTORA, LDA.",500036977,Pessoa Coletiva,10000 a 50000
AUTO REPARADORA CENTRAL CELORICENSE LDA - EM LIQUIDAÇÃO,500037183,Pessoa Coletiva,10000 a 50000
AUTO TÉCNICA DE CALDAS LDA-EM LIQUIDAÇÃO,500038201,Pessoa Coletiva,10000 a 50000
AUTOMOVEIS DO ALTO DOURO LDA - EM LIQUIDAÇÃO,500038929,Pessoa Coletiva,10000 a 50000
RIA MARINE-ESTALEIRO NAVAL LDA - EM LIQUIDAÇÃO,500039100,Pessoa Coletiva,10000 a 50000
BALANCAS ROMAO S.A,500040648,Pessoa Coletiva,10000 a 50000
"BAR JAIR, LDA.",500041040,Pessoa Coletiva,10000 a 50000
BARROS E BARROS SA,500042136,Pessoa Coletiva,10000 a 50000
"BASCULAS E BALANÇAS LAGE UNIPESSOAL, LDA",500042381,Pessoa Coletiva,10000 a 50000
"AGUANAVE-SOCIEDADE ABASTECEDORA DE NAVIOS, LDA",500042519,Pessoa Coletiva,10000 a 50000
BASTOS SA LD,500042691,Pessoa Coletiva,10000 a 50000
BENIGNO & CASTRO LDA,500044317,Pessoa Coletiva,10000 a 50000
BENTO & DIAS LD,500044465,Pessoa Coletiva,10000 a 50000
"BERGANA, GOMEZ & ALONSO, LDA.",500044740,Pessoa Coletiva,10000 a 50000
BERNARDINO CRUZ LD,500044813,Pessoa Coletiva,10000 a 50000
MASSA INSOLVENTE DE BEZERRA BARROSO & COMP LD,500045445,Pessoa Coletiva,10000 a 50000
BIODIETOMUNDO SOC VENDA PRODUTOS DIETETICOS S.A.,500045674,Pessoa Coletiva,10000 a 50000
"BISEFIL - BISELADORA FIGUEIRENSE, LDA",500045780,Pessoa Coletiva,10000 a 50000
"BLOCO REPRESENTACOES, SA",500045984,Pessoa Coletiva,10000 a 50000
BOLAS & NARCISO LDA,500046239,Pessoa Coletiva,10000 a 50000
DANIEL FS LD,500046450,Pessoa Coletiva,10000 a 50000
"DUDAJOIAS, LDA",500048010,Pessoa Coletiva,10000 a 50000
"STAND ASLA - IMPORTAÇÃO E COMÉRCIO DE PEÇAS E ACESSÓRIOS PARA AUTOMÓVEIS, UNIPESSOAL, LDA",500049416,Pessoa Coletiva,10000 a 50000
"CAFETEIRA DE OURO, LDA",500050309,Pessoa Coletiva,10000 a 50000
"CANARIO, LUCAS & IRMÃO, LDA",500052140,Pessoa Coletiva,10000 a 50000
CARDOSO E AZEVEDO CORREIA LDA,500053030,Pessoa Coletiva,10000 a 50000
"CARLOS FRANCISCO & CHAMBEL, LDA.",500054258,Pessoa Coletiva,10000 a 50000
GONCALVES DOMINGOS LD,500055513,Pessoa Coletiva,10000 a 50000
"CARMEL-CARPINTARIA MECÂNICA LDA, EM LIQUIDAÇÃO",500055530,Pessoa Coletiva,10000 a 50000
CARRICA PRONTO A VESTIR LD,500055971,Pessoa Coletiva,10000 a 50000
"CARVALHO & CORREA HENRIQUES, LDA - EM LIQUIDAÇÃO",500056358,Pessoa Coletiva,10000 a 50000
CARVALHO E LAGE LDA,500056501,Pessoa Coletiva,10000 a 50000
"CASA DAS LUVAS, LDA - SOCIEDADE EM LIQUIDAÇÃO",500057869,Pessoa Coletiva,10000 a 50000
CASACA MARTINS LD,500058520,Pessoa Coletiva,10000 a 50000
"CASTRO LOPO FILHOS, LDA",500059411,Pessoa Coletiva,10000 a 50000
"CELTICOS - CENTRO DE ESTUDOS LINGUISTICOS, LDA",500060231,Pessoa Coletiva,10000 a 50000
CENTRO COMERCIO AGRICOLA SANTAREM LD,500060932,Pessoa Coletiva,10000 a 50000
"CERAMICA DE SÃO PAULO, S.A.",500062137,Pessoa Coletiva,10000 a 50000
"CHICAPA-ACTIVIDADES HOTELEIRAS, LDA.",500063320,Pessoa Coletiva,10000 a 50000
"ORBITA - BICICLETAS PORTUGUESAS, LDA",500063591,Pessoa Coletiva,10000 a 50000
CLAVE COMBUSTIVEIS E LUBRIFICANTES ALHOS VEDROS LD,500064792,Pessoa Coletiva,10000 a 50000
CUSTODIOS - COMERCIO DE ELECTRODOMESTICOS LDA - EM LIQUIDAÇÃO,500064830,Pessoa Coletiva,10000 a 50000
CLINICA DE SANTA HELENA LDA,500065055,Pessoa Coletiva,10000 a 50000
CLUBE DE FUTEBOL UNIÃO DE COIMBRA,500065179,Pessoa Coletiva,10000 a 50000
"COELHO & MARTINS, LDA",500065900,Pessoa Coletiva,10000 a 50000
"COLDENTE-LABORATORIO DE PROTESE DENTARIA, LDA.",500066620,Pessoa Coletiva,10000 a 50000
"COLME - INSTALAÇÕES PARA COMBUSTÍVEIS LÍQUIDOS E REPARAÇÕES MECÂNICAS, LIMITADA - EM LIQUIDAÇÃO",500066752,Pessoa Coletiva,10000 a 50000
COMOBIL-COMERCIO DE MOTORIZADAS E BICICLETAS LDA - EM LIQUIDAÇÃO,500067511,Pessoa Coletiva,10000 a 50000
IMPERIO BONANÇA - COMPANHIA DE SEGUROS SA,500069468,Pessoa Coletiva,10000 a 50000
"COMPO - COMPONENTES PARA CALÇADO, LDA",500069760,Pessoa Coletiva,10000 a 50000
"CONFECÇÕES BALOJA, LDA",500070342,Pessoa Coletiva,10000 a 50000
"CONFECÇÕES BERCEL, S.A.",500070369,Pessoa Coletiva,10000 a 50000
CONFEITARIA ERBOM LDA,500071306,Pessoa Coletiva,10000 a 50000
CONFEITARIA TAMBELA LDA,500071438,Pessoa Coletiva,10000 a 50000
COOP AGRICOLA PALMELA C R L,500075425,Pessoa Coletiva,10000 a 50000
COPNEUS COMERCIO PNEUS LD,500076308,Pessoa Coletiva,10000 a 50000
"CORALGA DECORACOES E REVESTIMENTOS PLASTICOS, LDA",500076421,Pessoa Coletiva,10000 a 50000
CORMAR-SOCIEDADE DE TINTAS E PRODUTOS QUIMICOS LDA,500076871,Pessoa Coletiva,10000 a 50000
MASSA INSOLVENTE COSME & MIRANDA LD,500078041,Pessoa Coletiva,10000 a 50000
COSTA & SANTOS LDA,500078599,Pessoa Coletiva,10000 a 50000
COSTA BERNARDES I LD,500078734,Pessoa Coletiva,10000 a 50000
CRISTINO CABRAL RAMOS LD,500080534,Pessoa Coletiva,10000 a 50000
"IRMÃOS TAVARES 2 - FABRICO DE GRUAS, LDA",500080909,Pessoa Coletiva,10000 a 50000
"CUSTÓDIO DE JESUS, UNIPESSOAL, LDA",500081840,Pessoa Coletiva,10000 a 50000
"ESTORES VIVER SOL DECORAÇÃO, LDA",500081875,Pessoa Coletiva,10000 a 50000
MADREVINHOS D.J.P.P. - DISTRIBUIÇÃO DE VINHOS E BEBIDAS LDA,500082510,Pessoa Coletiva,10000 a 50000
"DECORAÇÕES MISULA UNIPESSOAL, LIMITADA",500083568,Pessoa Coletiva,10000 a 50000
DELTAMOTOR MOTORES CONSTRUCOES ESPECIAIS LD,500084149,Pessoa Coletiva,10000 a 50000
DESPORTOLANDIA ARTIGOS DESPORTIVOS LD,500084475,Pessoa Coletiva,10000 a 50000
JOVINUNES REPARACAO AUTO LDA,500084858,Pessoa Coletiva,10000 a 50000
EXPODISPLAY SERVICE MARKETING PORTATIL LD,500085129,Pessoa Coletiva,10000 a 50000
"DIMOFEL - SOCIEDADE DE COMERCIO E INDUSTRIA DE ARTIGOS ELECTRONICOS, LDA",500085749,Pessoa Coletiva,10000 a 50000
DETIMOS-GESTÃO IMOBILIÁRIA S.A,500086770,Pessoa Coletiva,10000 a 50000
"DOMINGOS & CA, S.A.",500086982,Pessoa Coletiva,10000 a 50000
TRANSBORBA TRANSPORTES SERVICOS LD,500087300,Pessoa Coletiva,10000 a 50000
SOLUCAO CORRETORES E CONSULTORES DE SEGUROS S A,500089736,Pessoa Coletiva,10000 a 50000
"EDITORIAL ESTAMPA, LDA",500090475,Pessoa Coletiva,10000 a 50000
"EDUARDO GOMES CARDOSO (HERDEIROS), LDA.",500091170,Pessoa Coletiva,10000 a 50000
"ELECTRO MECANICA RUTILAR, LDA",500092940,Pessoa Coletiva,10000 a 50000
"ELECTRO - PROGRESSO DE FERNANDO RODRIGUES LDA, ""EM LIQUIDAÇÃO""",500093261,Pessoa Coletiva,10000 a 50000
CEEL COMERCIO EQUIPAMENTO ELETRICO LD,500093865,Pessoa Coletiva,10000 a 50000
"MASSA INSOLVENTE EMPRESA TEXTIL DO RIO FERRO, LDA",500097674,Pessoa Coletiva,10000 a 50000
"ENCERADORA DE TACOS DE MANUEL DA COSTA ROSA, LDA",500098050,Pessoa Coletiva,10000 a 50000
ENERFLUX APLICACOES OLEO HIDRALICAS MECANICAS LD,500098131,Pessoa Coletiva,10000 a 50000
"ERMELINDA & EVA, LDA.",500098760,Pessoa Coletiva,10000 a 50000
ERNESTO FERREIRA LD,500098875,Pessoa Coletiva,10000 a 50000
ESPERANCA GONCALVES & SANTOS LDA,500099545,Pessoa Coletiva,10000 a 50000
ESTB ALIMENTARES ALVES PEREIRA LD,500099987,Pessoa Coletiva,10000 a 50000
ESTB J LEITAO ART SANITARIOS SA,500100349,Pessoa Coletiva,10000 a 50000
EURO ASIA IMPORTADORES E EXPORTADORES LDA,500101922,Pessoa Coletiva,10000 a 50000
EURO ATLANTICA INVESTIMENTOS COMERCIO S.A.,500101930,Pessoa Coletiva,10000 a 50000
"EUROPEIA-AGENCIA TURISTICA, LDA",500102341,Pessoa Coletiva,10000 a 50000
"EVARISTO, LDA.",500102600,Pessoa Coletiva,10000 a 50000
F COSTA FILMARTE LDA.,500103410,Pessoa Coletiva,10000 a 50000
FAB FORMAS CIBRAO LD,500104174,Pessoa Coletiva,10000 a 50000
"FABRICA DE CALÇADO EVERESTE, LDA",500105090,Pessoa Coletiva,10000 a 50000
FAB CALCADO ZETAL LD,500105189,Pessoa Coletiva,10000 a 50000
FABRICA DE CONFECÇÕES GUIVER LDA - EM LIQUIDAÇÃO,500105413,Pessoa Coletiva,10000 a 50000
"FABRICAS VASCO DA GAMA - INDUSTRIAS TRANSFORMADORAS, S.A.",500105545,Pessoa Coletiva,10000 a 50000
"MASSA INSOLVENTE FABRICA DE CURTUMES RAMADA , LDA",500105561,Pessoa Coletiva,10000 a 50000
"MASSA INSOLVENTE - FABRICA DE CURTUMES DE ROLDES, LDA",500105570,Pessoa Coletiva,10000 a 50000
"FABRICA DE MALHAS GILMALHA, LDA",500106410,Pessoa Coletiva,10000 a 50000
"FABRICA DE PLASTICOS TITAN, S.A.",500107386,Pessoa Coletiva,10000 a 50000
FAB SEDAS GLOBO LD,500107696,Pessoa Coletiva,10000 a 50000
FAPOVAR - FABRICA DE PAPEL DE OVAR S.A. - EM LIQUIDAÇÃO,500109249,Pessoa Coletiva,10000 a 50000
FAMOCOL IND COMERCIO CONF TECIDOS FARELEIRO MOREIRA & COSTA LD,500109354,Pessoa Coletiva,10000 a 50000
FARIA GUIMARAES COMP SUCERS LD,500109508,Pessoa Coletiva,10000 a 50000
FARMACIA SILVA JUNIOR LDA - EM LIQUIDAÇÃO,500109788,Pessoa Coletiva,10000 a 50000
"FARMAJOREL-REPRESENTAÇÕES, UNIPESSOAL LIMITADA",500109800,Pessoa Coletiva,10000 a 50000
FAUSTO LAVRADOR LD,500110182,Pessoa Coletiva,10000 a 50000
"FECALI PRODUTOS INDUSTRIAIS E COMERCIAIS, LDA",500110328,Pessoa Coletiva,10000 a 50000
"FECOR FECHOS DE CORRER, LDA",500110336,Pessoa Coletiva,10000 a 50000
"SOUSA & CYRNE, LDA.",500110417,Pessoa Coletiva,10000 a 50000
FERNANDES ALCINO LD,500111073,Pessoa Coletiva,10000 a 50000
"FERNANDES, LOPES & SILVA, LDA",500111472,Pessoa Coletiva,10000 a 50000
FONTES IS LD,500111634,Pessoa Coletiva,10000 a 50000
FERNANDO LOPES PAIS LDA,500112509,Pessoa Coletiva,10000 a 50000
FERNANDO SEQUEIRA AMARAL FS LD,500112894,Pessoa Coletiva,10000 a 50000
FERREIRA NEVES LD,500113718,Pessoa Coletiva,10000 a 50000
"FERREIRA & SEIXAS, UNIPESSOAL, LDA",500113904,Pessoa Coletiva,10000 a 50000
FERREIRA COUTO LEMOS LD,500114048,Pessoa Coletiva,10000 a 50000
"FERREIRA,LISBOA & CA LDA - SOCIEDADE EM LIQUIDAÇÃO",500114242,Pessoa Coletiva,10000 a 50000
"FIRMINO AUGUSTO DA SILVA & FILHOS, LDA.",500116687,Pessoa Coletiva,10000 a 50000
FOTAL A ALUMINI FOTO PORTUGAL S.A.,500118477,Pessoa Coletiva,10000 a 50000
FOZ COSMETICOS LDA,500118701,Pessoa Coletiva,10000 a 50000
FRANCISCO OLIVEIRA FOS LD,500120102,Pessoa Coletiva,10000 a 50000
FRIMÓVEL - SOCIEDADE CONSTRUTORA DE MÓVEIS E FRIGORÍFICOS LDA,500121745,Pessoa Coletiva,10000 a 50000
DIMENSÃO ALVALADE EDIÇÃO DE MOBILIARIO LD,500124159,Pessoa Coletiva,10000 a 50000
"GARAGE BOA VIAGEM, LDA.",500124264,Pessoa Coletiva,10000 a 50000
GARAGEM PAMPULHA LDA - EM LIQUIDAÇÃO,500124744,Pessoa Coletiva,10000 a 50000
"GARAGEM DE S.JOÃO, LDA EM LIQUIDAÇÃO",500124817,Pessoa Coletiva,10000 a 50000
GARRIDO BORGES COMP LD,500125392,Pessoa Coletiva,10000 a 50000
GASTAO COMP LD,500125856,Pessoa Coletiva,10000 a 50000
GATÕES & IRMÃOS LDA,500125929,Pessoa Coletiva,10000 a 50000
"IMAGICAR - COMÉRCIO E REPARAÇÃO DE AUTOMÓVEIS, LDA.",500126488,Pessoa Coletiva,10000 a 50000
GESTAUTO SOC EMPREENDIMENTOS GESTAO AUTOMOVEL LD,500126690,Pessoa Coletiva,10000 a 50000
GINASIO ATLETICO CLUBE BANHEIRAS,500127131,Pessoa Coletiva,10000 a 50000
"ACT-C-INDÚSTRIA DE CORTIÇAS, S.A.- EM LIQUIDAÇÃO",500128162,Pessoa Coletiva,10000 a 50000
CARVALHO & PINHEIRO LDA - EM LIQUIDAÇÃO,500129142,Pessoa Coletiva,10000 a 50000
GORDALINAS & FERREIRA LDA,500129339,Pessoa Coletiva,10000 a 50000
GRACA & BENTO LD,500129509,Pessoa Coletiva,10000 a 50000
GRAFICA ALHANDRENSE LDA,500129711,Pessoa Coletiva,10000 a 50000
GRAFOLITO SISTEMAS INTERGRAFICOS SA,500130140,Pessoa Coletiva,10000 a 50000
"GRANDE CABELEIREIRO DE SENHORAS EVA, LDA - EM LIQUIDAÇÃO",500130310,Pessoa Coletiva,10000 a 50000
GREGORIO ALVARES LD,500130736,Pessoa Coletiva,10000 a 50000
MASSA INSOLVENTE NELSON & LUISA LDA,500132224,Pessoa Coletiva,10000 a 50000
SUPREME SOC IMP COMERCIO INTERNACIONAL LD,500132763,Pessoa Coletiva,10000 a 50000
HELIOTECNICA GRAPHIS LD,500133255,Pessoa Coletiva,10000 a 50000
HEBA J.F.BAPTISTA COMERCIO MODAS CONFECCOES LD,500133387,Pessoa Coletiva,10000 a 50000
"HENRIQUE JOSE SEGURO & FILHOS, LDA.",500133611,Pessoa Coletiva,10000 a 50000
TRANSROTA TRANSPORTES RODOVIARIOS PASSAGEIROS LDA,500134219,Pessoa Coletiva,10000 a 50000
HORACIO ALVES S.A.,500135100,Pessoa Coletiva,10000 a 50000
HOTEL TURISMO ABRANTES SARL,500135401,Pessoa Coletiva,10000 a 50000
I.B.D.INSTITUTO DE BIOQUIMICA DIETETICA LDA - EM LIQUIDAÇÃO,500135622,Pessoa Coletiva,10000 a 50000
"IACEFA - SERVIÇOS GERAIS GESTÃO, LD",500135754,Pessoa Coletiva,10000 a 50000
"IDEAL DE SANGALHOS - ACTIVIDADES HOTELEIRAS, S.A.- EM LIQUIDAÇÂO",500136220,Pessoa Coletiva,10000 a 50000
"CAVES IMPÉRIO, S.A.",500137404,Pessoa Coletiva,10000 a 50000
INDÚSTRIAS PLÁSTICAS ACTUS LDA,500139156,Pessoa Coletiva,10000 a 50000
INST PASTEUR LISBOA VIRGINIO LEITAO V SANTOS E FS SA,500140006,Pessoa Coletiva,10000 a 50000
INTEROPTICA IND TECNICA RENOVACAO OPTICA LD,500140685,Pessoa Coletiva,10000 a 50000
INTERRANICA TRANSPORTES INTERNACIONAIS LD,500140804,Pessoa Coletiva,10000 a 50000
IS MARTINS LD,500141460,Pessoa Coletiva,10000 a 50000
IRMÃOS ANTUNES LDA,500141517,Pessoa Coletiva,10000 a 50000
ISABEL QUEIROZ VALE S.A.,500142378,Pessoa Coletiva,10000 a 50000
ISMADE CONF IMP LD,500142580,Pessoa Coletiva,10000 a 50000
"J. A. NASCIMENTO, S.A.",500143161,Pessoa Coletiva,10000 a 50000
NISSAUTO COMERCIO AUTOMOVEIS LD,500143412,Pessoa Coletiva,10000 a 50000
J ARTEIRO LD,500143447,Pessoa Coletiva,10000 a 50000
MASSA INSOLVENTE SERRALHARIA LIVRAMENTO LD,500143544,Pessoa Coletiva,10000 a 50000
J FERNANDES DIAS FS LD,500144621,Pessoa Coletiva,10000 a 50000
J J GONCALVES ABREU LD,500145199,Pessoa Coletiva,10000 a 50000
J L FIGUEIREDO LDA,500145385,Pessoa Coletiva,10000 a 50000
J MARQUES COMP LD,500145717,Pessoa Coletiva,10000 a 50000
"J. MATIAS & SALVADOR, UNIPESSOAL, LDA",500145822,Pessoa Coletiva,10000 a 50000
"J. TAVARES DA COSTA & FILHOS, S.A.",500147230,Pessoa Coletiva,10000 a 50000
J.VELEZ LDA - EM LIQUIDAÇÃO,500147337,Pessoa Coletiva,10000 a 50000
"JAIME RIBEIRO & FILHOS, S.A.",500148090,Pessoa Coletiva,10000 a 50000
JOAO B CARNEIRO LDA,500149070,Pessoa Coletiva,10000 a 50000
JOÃO SIMÕES MARQUES VIEIRA & FILHOS LDA - SOCIEDADE EM LIQUIDAÇÃO,500150770,Pessoa Coletiva,10000 a 50000
"JOAQUIM ALVES, SUCESSORES, LDA",500151180,Pessoa Coletiva,10000 a 50000
"JOAQUIM DIAS DE SOUSA, LIMITADA - EM LIQUIDAÇÃO",500151652,Pessoa Coletiva,10000 a 50000
JOAQUIM NUNES BELEM UNIPESSOAL LD,500152462,Pessoa Coletiva,10000 a 50000
"JOAQUIM DA SILVA FERREIRA, S.A.",500152870,Pessoa Coletiva,10000 a 50000
JOAQUIM SOARES DANTAS E IRMAOS LDA,500152993,Pessoa Coletiva,10000 a 50000
JOGAL MOVEIS DECORACOES LD,500153329,Pessoa Coletiva,10000 a 50000
JOSÉ DA COSTA & FILHOS LDA - EM LIQUIDAÇÃO,500155631,Pessoa Coletiva,10000 a 50000
JOSE DOMINGOS BASTOS LD,500155968,Pessoa Coletiva,10000 a 50000
JOSÉ FERREIRA PACIÊNCIA & FILHOS LDA,500156417,Pessoa Coletiva,10000 a 50000
JOSE GASPAR FERREIRA BASTOS FS LD,500156778,Pessoa Coletiva,10000 a 50000
JOSE GOMES MATOS LD,500156816,Pessoa Coletiva,10000 a 50000
JOSE GRAÇA VIEIRA & FILHOS LDA,500156964,Pessoa Coletiva,10000 a 50000
MASSA INSOLVENTE DE JOSE JOAQUIM LEITE FS LD,500157251,Pessoa Coletiva,10000 a 50000
"JOSE MARIA MARQUES VIOLANTE, SUCESSORES LDA",500157910,Pessoa Coletiva,10000 a 50000
JOSE MARTINS CASTRO COMP LD,500158177,Pessoa Coletiva,10000 a 50000
"JOSE SANTOS & CAMPOS, LDA",500159580,Pessoa Coletiva,10000 a 50000
ODONTOPROTESE LAB PROTESE DENTARIA LD,500159785,Pessoa Coletiva,10000 a 50000
"EDYTIME - EDITORES GRÁFICOS ,LDA",500161011,Pessoa Coletiva,10000 a 50000
"LACOBEL - SOC. IND. PAVIMENTOS, MAT. E CONST.,LDA",500162344,Pessoa Coletiva,10000 a 50000
LAVANDARIA CASTELO TINT LIMPEZA SECO LD,500163740,Pessoa Coletiva,10000 a 50000
"LAVANDARIAS RIBEIRO, LDA",500163901,Pessoa Coletiva,10000 a 50000
LEAL & ROSA LDA,500164118,Pessoa Coletiva,10000 a 50000
LEITARIA PREGO DOURO LD,500164550,Pessoa Coletiva,10000 a 50000
LIMA & LIMAS LDA - EM LIQUIDAÇÃO,500165661,Pessoa Coletiva,10000 a 50000
OCE PORTUGAL EQUIPAMENTOS GRAFICOS S.A,500165831,Pessoa Coletiva,10000 a 50000
"GRAFICA EIXO ATLANTICO,LDA",500166897,Pessoa Coletiva,10000 a 50000
LOULEPAO-PRODUTOS ALIMENTARES LDA,500168628,Pessoa Coletiva,10000 a 50000
LOURENCO FERRAO & COMP LDA,500169047,Pessoa Coletiva,10000 a 50000
"LUIS GONÇALVES & IRMÃO, LDA",500170185,Pessoa Coletiva,10000 a 50000
"POMBO INDUSTRIA METALURGICA,LDA.",500170584,Pessoa Coletiva,10000 a 50000
"LUSOFANE, S.A. - EM LIQUIDAÇÃO",500171335,Pessoa Coletiva,10000 a 50000
"M PEREIRA SANTOS & CA, UNIPESSOAL, LDA",500173354,Pessoa Coletiva,10000 a 50000
MACEDO RIBEIRO LD,500173842,Pessoa Coletiva,10000 a 50000
MADUREIRA & FILHO LDA - EM LIQUIDAÇÃO,500174946,Pessoa Coletiva,10000 a 50000
"MADUREIRA & IRMÃO, LDA",500174962,Pessoa Coletiva,10000 a 50000
"MAGNO & VARELA, LDA.",500175462,Pessoa Coletiva,10000 a 50000
"MALAS MONTEIROS & JORGE, LDA",500175942,Pessoa Coletiva,10000 a 50000
MANUEL ALVES NETO LD,500177163,Pessoa Coletiva,10000 a 50000
